,cities,city_name,lats,lngs,max_temp,humidity,cloudiness,wind_speed,country,date
315,tumannyy,,,,,,,,,
316,antalya,Antalya Province,36.77,30.72,75.2,94,40,4.7,TR,1595906321
317,vostok,Vostok,46.49,135.88,79.2,56,22,4.92,RU,1595906477
318,orguz,Orguz,43.77,16.86,57.99,76,0,1.99,BA,1595906478
319,knysna,Knysna,-34.04,23.05,46.4,75,0,3.36,ZA,1595906478
320,murray bridge,Murray Bridge,-35.12,139.27,54,84,87,3.62,AU,1595906406
321,richards bay,Richards Bay,-28.78,32.04,57.18,83,3,6.33,ZA,1595906479
322,attawapiskat,,,,,,,,,
323,ushtobe,Ushtobe,45.25,77.98,85.78,22,100,8.97,KZ,1595906479
324,comodoro rivadavia,Comodoro Rivadavia,-45.87,-67.5,39.2,60,0,9.17,AR,1595906480
325,samusu,,,,,,,,,
326,gobabis,Gobabis,-22.45,18.97,35.6,59,0,1.12,NA,1595906481
327,kirakira,Kirakira,-10.45,161.92,84.9,73,74,9.48,SB,1595906481
328,buy,Buy,58.48,41.53,61.79,82,0,0.87,RU,1595906482
329,swan hill,Swan Hill,-35.34,143.55,63.68,48,0,13.73,AU,1595906482
330,shuangcheng,Shuangcheng,45.35,126.28,80.6,74,40,8.95,CN,1595906482
331,tasiilaq,Tasiilaq,65.61,-37.64,39.2,93,38,2.62,GL,1595906482
332,viligili,,,,,,,,,
333,borogontsy,Borogontsy,62.67,131.17,63.36,95,100,3.15,RU,1595906483
334,baker city,Baker City,44.77,-117.83,84.2,35,1,5.82,US,1595906483
335,alikovo,Alikovo,55.74,46.75,66.2,88,20,2.24,RU,1595906484
336,la ronge,La Ronge,55.1,-105.28,75.2,47,5,4.7,CA,1595906484
337,launceston,Launceston,-41.45,147.17,55.99,71,20,17.22,AU,1595906485
338,meulaboh,Meulaboh,4.14,96.13,75.24,94,100,3.09,ID,1595906485
339,rungata,,,,,,,,,
340,ponta delgada,Ponta Delgada,37.73,-25.67,71.6,88,40,2.21,PT,1595906486
341,wangqing,Wangqing,43.32,129.76,73.02,73,98,5.75,CN,1595906487
342,linhares,Linhares,-19.39,-40.07,65.71,91,0,0.65,BR,1595906431
343,benguela,Benguela,-12.58,13.41,65.66,85,2,1.16,AO,1595906487
344,butembo,Butembo,0.15,29.28,55.56,98,21,2.71,CD,1595906488
345,le port,Le Port,-20.94,55.29,68,72,90,4.7,RE,1595906488
346,galdar,Gáldar,28.15,-15.65,71.6,78,20,27.51,ES,1595906489
347,labe,Labé,11.32,-12.28,66.06,100,100,2.48,GN,1595906489
348,skjervoy,Skjervøy,70.03,20.97,56.93,74,45,9.73,NO,1595906489
349,mount isa,Mount Isa,-20.73,139.5,71.6,19,0,12.75,AU,1595906490
350,sitka,Sitka,57.05,-135.33,57.2,82,90,3.36,US,1595906490
351,gao,Gao,16.64,1.64,78.31,72,96,16.55,ML,1595906491
352,bashtanka,Bashtanka,47.41,32.44,66.2,72,100,4.47,UA,1595906492
353,korla,Korla,41.76,86.15,81.93,22,0,14.47,CN,1595906295
354,port-gentil,Port-Gentil,-0.72,8.78,74.89,82,11,12.77,GA,1595906494
355,choix,Choix,26.71,-108.32,80.17,84,100,4.16,MX,1595906494
356,yulara,Yulara,-25.24,130.99,66.2,27,0,12.75,AU,1595906233
357,altamirano,Altamirano,16.88,-92.15,59.61,100,100,2.26,MX,1595906495
358,kitimat,Kitimat,54.05,-128.65,64.99,72,70,1.01,CA,1595906495
359,mogilno,Mogilno,52.66,17.96,66.2,77,97,4.7,PL,1595906496
360,mana,Mana,5.66,-53.78,77.25,84,97,0.74,GF,1595906496
361,puerto ayacucho,Puerto Ayacucho,5.66,-67.62,73.72,90,70,2.48,VE,1595906496
362,ust-tsilma,Ust-Tsilma,65.44,52.15,62.02,59,26,3.47,RU,1595906497
363,ust-kamchatsk,,,,,,,,,
364,dhar,Dhār,22.6,75.3,77,94,40,4.7,IN,1595906498
365,saint-joseph,Saint-Joseph,-21.37,55.62,68,82,90,5.82,RE,1595906498
366,dolinsk,Dolinsk,47.35,142.8,64.4,82,75,4.47,RU,1595906498
367,xadani,,,,,,,,,
368,norman wells,Norman Wells,65.28,-126.83,66.2,59,75,11.41,CA,1595906499
369,hasanabad,Ḩasanābād,36.55,61.05,84.2,32,0,2.24,IR,1595906499
370,hamilton,Hamilton,39.18,-84.53,73,94,1,4.7,US,1595906500
371,rypefjord,Rypefjord,70.63,23.67,66.2,59,7,18.34,NO,1595906500
372,manjeshwar,Manjeshwar,12.72,74.89,77,88,75,3.36,IN,1595906501
373,escarcega,Escárcega,18.61,-90.75,81.64,68,96,4.41,MX,1595906501
374,guerrero negro,Guerrero Negro,27.98,-114.06,67.86,85,0,18.7,MX,1595906502
375,canon city,Cañon City,38.44,-105.24,69.8,73,1,4.7,US,1595906502
376,seoul,Seoul,37.57,126.98,80.6,69,90,3.36,KR,1595906503
377,kimberley,Kimberley,-28.73,24.76,42.8,63,0,9.17,ZA,1595906503
378,savasleyka,Savasleyka,55.46,42.32,61.66,88,0,2.06,RU,1595906504
379,along,Along,28.17,94.77,78.01,86,100,1.05,IN,1595906504
380,souillac,Souillac,-20.52,57.52,64.4,93,40,5.82,MU,1595906504
381,tupelo,Tupelo,34.26,-88.7,78.8,83,1,1.07,US,1595906505
382,harbour breton,Harbour Breton,47.48,-55.8,59.58,92,80,1.1,CA,1595906505
383,doctor pedro p. pena,,,,,,,,,
384,reforma,La Reforma,18.1,-91.02,77.58,88,95,3.02,MX,1595906506
385,aksay,Aksay,47.26,39.87,75.2,47,20,15.66,RU,1595906507
386,mackay,Mackay,-21.15,149.2,75.2,17,0,11.41,AU,1595906508
387,makakilo city,Makakilo City,21.35,-158.09,86,51,1,12.75,US,1595906508
388,lazaro cardenas,Lázaro Cárdenas,17.96,-102.2,80.74,76,100,3.38,MX,1595906508
389,quatre cocos,Quatre Cocos,-20.21,57.76,68,93,40,5.82,MU,1595906509
390,vestmannaeyjar,Vestmannaeyjar,63.44,-20.27,50.13,77,0,19.71,IS,1595906509
391,goundi,Goundi,9.36,17.37,71.73,97,63,3.62,TD,1595906510
392,leningradskiy,Leningradskiy,69.38,178.42,38.44,75,20,10.27,RU,1595906510
393,ankazoabo,Ankazoabo,-22.28,44.52,53.58,80,0,9.19,MG,1595906511
394,neiafu,Neiafu,-18.65,-173.98,75.2,83,75,10.29,TO,1595906511
395,waverly,Waverly,42.74,-84.62,73.4,64,1,6.93,US,1595906512
396,umzimvubu,,,,,,,,,
397,kabanjahe,Kabanjahe,3.1,98.49,84.2,79,40,5.82,ID,1595906513
398,chiria,Chiria,22.3,85.27,82.35,75,100,2.59,IN,1595906513
399,olkhovka,Olkhovka,53.21,60.61,58.03,82,0,10.67,RU,1595906513
400,bilibino,Bilibino,68.05,166.44,59.31,42,60,9.62,RU,1595906514
401,banda aceh,Banda Aceh,5.56,95.32,83.59,71,100,14.52,ID,1595906515
402,san francisco,San Francisco,37.77,-122.42,61,77,40,13.87,US,1595905820
403,liberal,Liberal,37.04,-100.92,71.6,94,1,5.82,US,1595906516
404,abu samrah,Abu Samrah,35.3,37.18,77.5,51,6,3.51,SY,1595906517
405,labuhan,Labuhan,-6.88,112.21,82.8,64,94,6.13,ID,1595906517
406,rocky mountain house,Rocky Mountain House,52.37,-114.92,68.45,83,0,8.75,CA,1595906518
407,mezhdurechensk,Mezhdurechensk,53.69,88.06,69.98,67,21,1.81,RU,1595906518
408,caravelas,Caravelas,-17.71,-39.25,69.01,85,8,3,BR,1595906278
409,pahrump,Pahrump,36.21,-115.98,93.99,12,0,12.41,US,1595906489
410,skagastrond,,,,,,,,,
411,formosa do rio preto,Formosa do Rio Preto,-11.05,-45.19,67.44,68,36,5.06,BR,1595906519
412,tabukiniberu,,,,,,,,,
413,dolores,Dolores,-36.31,-57.68,39.18,76,25,9.78,AR,1595906520
414,togul,Togul,53.47,85.91,60.8,89,100,3.71,RU,1595906521
415,andevoranto,,,,,,,,,
416,iqaluit,Iqaluit,63.75,-68.51,51.8,87,75,2.24,CA,1595906521
417,lake city,Lake City,30.19,-82.64,78.8,94,1,3.36,US,1595906274
418,mahanoro,Mahanoro,-19.9,48.8,66.15,88,100,6.85,MG,1595906522
419,umm lajj,Umluj,25.02,37.27,83.86,77,50,3.65,SA,1595906523
420,kahului,Kahului,20.89,-156.47,86,51,20,27.51,US,1595906523
421,khandyga,Khandyga,62.67,135.6,62.91,94,100,2.1,RU,1595906524
422,sinnamary,Sinnamary,5.38,-52.95,77.99,84,69,5.44,GF,1595906262
423,los llanos de aridane,Los Llanos de Aridane,28.66,-17.92,73.4,73,90,16.11,ES,1595906525
424,codrington,Codrington,-38.27,141.97,55.9,67,46,2.71,AU,1595906525
425,antalaha,Antalaha,-14.9,50.28,72.09,80,98,8.81,MG,1595906526
426,maghama,,,,,,,,,
427,whitehorse,Whitehorse,60.72,-135.05,53.6,76,75,2.24,CA,1595906527
428,commerce,Commerce,34,-118.16,68,72,90,8.72,US,1595906527
429,sao filipe,São Filipe,14.9,-24.5,75.83,77,97,7.14,CV,1595906527
430,ribeira grande,Ribeira Grande,38.52,-28.7,73.27,88,6,5.35,PT,1595906528
431,ossora,Ossora,59.24,163.07,66.51,62,2,6.64,RU,1595906528
432,rawson,Rawson,-43.3,-65.1,42.35,64,0,19.06,AR,1595906528
433,griffith,Griffith,41.53,-87.42,71.6,68,1,3.36,US,1595906529
434,utinga,Utinga,-5.82,-35.4,71.6,94,75,4.7,BR,1595906529
435,rabo de peixe,Rabo de Peixe,37.8,-25.58,71.6,88,40,1.88,PT,1595906529
436,ahuimanu,‘Āhuimanu,21.44,-157.84,86,62,75,13.87,US,1595906530
437,menongue,Menongue,-14.66,17.69,45.81,58,0,4.79,AO,1595906530
438,esil,Esil,51.96,66.4,61.86,69,12,14.23,KZ,1595906530
439,riyadh,Riyadh,24.69,46.72,87.8,31,13,4,SA,1595906353
440,lagoa,Lagoa,39.05,-27.98,72.9,88,0,5.68,PT,1595906531
441,la palma,La Palma,33.85,-118.05,70,68,1,10.29,US,1595906531
442,suraabad,Şuraabad,40.82,49.47,82.4,58,0,23.04,AZ,1595906532
443,marsa matruh,Marsá Maţrūḩ,31.35,27.25,76.12,83,0,11.68,EG,1595906273
444,manbij,Manbij,36.53,37.95,73.4,49,75,3.02,SY,1595906533
445,makung,,,,,,,,,
446,ilebo,Ilebo,-4.32,20.58,67.86,61,0,0.58,CD,1595906534
447,amahai,Amahai,-3.33,128.92,79.52,82,98,11.16,ID,1595906534
448,necochea,Necochea,-38.55,-58.74,41,91,65,5.99,AR,1595906535
449,maunabo,Maunabo,18.01,-65.9,80.01,92,8,3,PR,1595906535
450,staryy nadym,Staryy Nadym,65.61,72.68,53.15,64,90,13.31,RU,1595906536
451,yuanping,Yuanping,38.72,112.76,80.26,57,4,5.3,CN,1595906536
452,misrikh,Misrikh,27.45,80.52,90.07,61,94,1.95,IN,1595906536
453,pirovskoye,Pirovskoye,57.63,92.27,69.06,57,6,3.09,RU,1595906537
454,roald,Roald,62.58,6.13,61,72,80,2.24,NO,1595906538
455,ahipara,Ahipara,-35.17,173.17,60.55,66,58,10.45,NZ,1595906539
456,tukrah,Tūkrah,32.53,20.58,74.37,79,32,8.84,LY,1595906539
457,nelson bay,Nelson Bay,-32.72,152.15,57,100,90,18.34,AU,1595906539
458,sept-iles,Sept-Îles,50.2,-66.38,63,88,40,5.26,CA,1595906539
459,quesnel,Quesnel,53,-122.5,73.4,69,90,11.41,CA,1595906540
460,ostrovnoy,Ostrovnoy,68.05,39.51,60.04,76,9,1.14,RU,1595906540
461,vanavara,Vanavara,60.34,102.28,60.94,91,100,2.42,RU,1595906541
462,benin,Benin,9.5,2.25,71.49,96,96,2.95,BJ,1595906542
463,skibbereen,Skibbereen,51.55,-9.27,53.6,87,75,13.87,IE,1595906542
464,adrar,Adrar,20.5,-10.07,90.82,37,2,20.27,MR,1595906543
465,ust-karsk,Ust'-Karsk,52.7,118.81,89.04,35,29,10.04,RU,1595906543
466,tagusao,Tagusao,9.19,117.81,83.07,77,100,5.23,PH,1595906544
467,hailar,Hailar,49.2,119.7,87.04,35,80,15.57,CN,1595906544
468,luancheng,Luancheng,37.88,114.65,80.6,65,69,2.24,CN,1595906544
469,gladstone,Gladstone,-23.85,151.25,71.6,35,0,10.29,AU,1595906545
470,chapais,Chapais,49.78,-74.85,66.2,93,90,2.24,CA,1595906260
471,samana,Samaná,19.21,-69.34,77.97,86,69,8.7,DO,1595906545
472,puerto suarez,Puerto Suárez,-18.95,-57.8,72.55,50,0,2.86,BO,1595906546
473,mahajanga,Mahajanga,-15.72,46.32,69.8,88,40,2.24,MG,1595906546
474,prince rupert,Prince Rupert,54.32,-130.32,57.2,87,20,4.7,CA,1595906546
475,naryan-mar,Naryan-Mar,67.67,53.09,56.25,68,100,8.37,RU,1595906547
476,ipeti,,,,,,,,,
477,alto baudo,,,,,,,,,
478,tres picos,Tres Picos,15.87,-93.53,79.93,77,99,2.08,MX,1595906548
479,praia da vitoria,Praia da Vitória,38.73,-27.07,73.4,94,5,3.69,PT,1595906548
480,muramvya,Muramvya,-3.27,29.61,54.37,82,2,1.59,BI,1595906549
481,hedaru,Hedaru,-4.5,37.9,64.58,85,76,9.86,TZ,1595906550
482,ingham,Ingham,42.6,-84.38,70,77,1,5.82,US,1595906550
483,umba,Umba,66.69,34.34,59.14,73,43,2.89,RU,1595906550
484,sindor,Sindor,62.86,51.89,65.43,69,66,3.2,RU,1595906551
485,luanda,Luanda,-8.84,13.23,71.6,83,75,6.93,AO,1595906551
486,cabedelo,Cabedelo,-6.98,-34.83,75.04,82,33,15.95,BR,1595906547
487,vermilion,Vermilion,40.17,-87.75,75.2,100,90,4.7,US,1595906552
488,shihezi,Shihezi,44.3,86.03,77.65,35,3,3.87,CN,1595906552
489,vestmanna,Vestmanna,62.16,-7.17,46.4,93,78,18.34,FO,1595906552
490,narsaq,Narsaq,60.92,-46.05,46.4,87,100,3.36,GL,1595906553
491,shamkhal,Shamkhal,43.06,47.34,78.8,65,0,4.47,RU,1595906553
492,la asuncion,La Asuncion,11.03,-63.86,80.6,88,53,4.7,VE,1595906554
493,lorengau,Lorengau,-2.02,147.27,84.24,71,71,1.86,PG,1595906554
494,otake,Ōtake,34.2,132.22,80.6,83,90,3.36,JP,1595906554
495,canico,Caniço,32.63,-16.85,71.6,68,20,14.99,PT,1595906554
496,deming,Deming,32.27,-107.76,82.4,30,1,5.82,US,1595906555
497,pacific grove,Pacific Grove,36.62,-121.92,62.6,77,75,5.82,US,1595906555
498,avera,Avera,33.19,-82.53,82.4,74,1,4.7,US,1595906556
499,coari,Coari,-4.08,-63.14,76.35,76,10,1.86,BR,1595906556
500,olovyannaya,Olovyannaya,50.95,115.57,74.88,63,95,19.06,RU,1595906556
501,santiago de cao,Santiago de Cao,-7.96,-79.24,59.14,90,16,9.86,PE,1595906557
502,mpophomeni,Mpophomeni,-29.57,30.19,52,91,1,5.08,ZA,1595906557
503,aswan,Aswān,24.09,32.91,87.1,20,23,10.78,EG,1595906558
504,marcona,,,,,,,,,
505,belaya gora,Belaya Gora,68.53,146.42,51.35,64,100,7.65,RU,1595906558
506,cloquet,Cloquet,46.72,-92.46,66.2,63,1,5.82,US,1595906559
507,buala,Buala,-8.14,159.59,85.1,73,27,7.38,SB,1595906559
508,oxford,Oxford,51.75,-1.26,54,93,0,8.05,GB,1595906444
509,kupang,Kupang,-10.17,123.58,84.2,58,40,14.99,ID,1595906560
510,pandegelang,Pandegelang,-6.31,106.11,87.8,55,20,5.82,ID,1595906560
511,westlock,Westlock,54.15,-113.87,78.8,54,1,8.05,CA,1595906561
512,myitkyina,Myitkyina,25.38,97.4,88.2,64,92,1.14,MM,1595906561
513,ngama,Ngama,11.78,17.17,75.74,68,69,6.2,TD,1595906561
514,ordynskoye,Ordynskoye,54.37,81.9,64.47,76,26,1.9,RU,1595906562
515,itarema,Itarema,-2.92,-39.92,76.35,83,0,12.8,BR,1595906562
516,uruzgan,Oruzgan,32.83,66,79.05,18,0,3.56,AF,1595906562
517,vila franca do campo,Vila Franca do Campo,37.72,-25.43,71.6,88,40,1.79,PT,1595906562
518,khonuu,,,,,,,,,
519,guangyuan,Guangyuan,32.44,105.82,80.01,75,100,1.88,CN,1595906563
520,ayagoz,Ayagoz,47.97,80.44,74.48,41,33,15.66,KZ,1595906563
521,barcelona,Barcelona,41.39,2.16,80.01,64,47,5.82,ES,1595906414
522,kamenka,Kamenka,51.32,42.77,64,65,0,8.01,RU,1595906564
523,sarakhs,Sarakhs,36.54,61.16,84.2,32,0,2.24,IR,1595906565
524,sibenik,Šibenik,43.73,15.91,69.8,60,0,1.12,HR,1595906565
525,raudeberg,Raudeberg,61.99,5.14,62.01,72,100,12.75,NO,1595906566
526,manavalakurichi,Manavālakurichi,8.13,77.3,84.2,79,20,6.93,IN,1595906566
527,beringovskiy,Beringovskiy,63.05,179.32,65.77,59,0,2.21,RU,1595906567
528,diphu,Diphu,25.83,93.43,88.21,61,96,0.22,IN,1595906567
529,bengkulu,Bengkulu,-3.8,102.27,83.07,61,100,6.55,ID,1595906568
530,constitucion,Constitución,-35.33,-72.42,44.65,67,0,10.25,CL,1595906568
531,pavlodar,Pavlodar,52.3,76.95,68,68,90,11.18,KZ,1595906568
532,vila,Vila,42.03,-8.16,66.2,100,90,3.36,PT,1595906569
533,ancud,Ancud,-41.87,-73.82,41,100,75,2.24,CL,1595906569
534,luganville,Luganville,-15.53,167.17,80.6,83,75,6.93,VU,1595906569
535,alvaraes,Alvarães,-3.22,-64.8,75.22,84,0,2.62,BR,1595906570
536,ksenyevka,,,,,,,,,
537,bubaque,Bubaque,11.28,-15.83,79.47,84,100,16.17,GW,1595906571
538,evensk,Evensk,61.95,159.23,54.7,85,95,8.95,RU,1595906571
539,ilo,Ilo,-17.64,-71.34,58.41,78,85,3.33,PE,1595906571
540,nantucket,Nantucket,41.28,-70.1,73.4,94,1,11.41,US,1595906572
541,sola,Sola,-13.88,167.55,80.26,83,82,22.59,VU,1595906572
542,mandera,Mandera,3.94,41.87,77.77,65,89,16.67,KE,1595906572
543,russell,Russell,32.35,-85.2,84.2,94,1,3.36,US,1595906572
544,kazalinsk,,,,,,,,,
545,aykhal,Aykhal,66,111.5,48.2,70,90,4.47,RU,1595906574
546,hervey bay,Hervey Bay,-25.3,152.85,71.01,49,0,3,AU,1595906574
547,yaan,Yaan,7.38,8.57,71.33,98,100,5.14,NG,1595906575
548,andijon,Andijan,40.78,72.34,78.01,91,74,11.01,UZ,1595906575
549,imeni poliny osipenko,Imeni Poliny Osipenko,52.42,136.49,81.14,59,76,8.63,RU,1595906575
550,ariquemes,Ariquemes,-9.91,-63.04,76.14,61,100,1.36,BR,1595906576
551,asau,Asău,46.43,26.4,59,86,38,4.63,RO,1595906301
552,yasenskaya,Yasenskaya,46.36,38.27,71.67,87,11,6.04,RU,1595906576
553,vilyuysk,Vilyuysk,63.76,121.62,61.9,51,100,9.04,RU,1595906577
554,kalmunai,Kalmunai,7.42,81.82,78.3,83,100,11.77,LK,1595906577
555,diego de almagro,Diego de Almagro,-26.37,-70.05,50.61,60,0,2.28,CL,1595906577
556,teguise,Teguise,29.06,-13.56,71.6,83,3,18.34,ES,1595906578
557,krasnoborsk,Krasnoborsk,61.56,45.93,63.7,80,13,2.75,RU,1595906578
558,soyo,Soyo,-6.13,12.37,72.88,80,89,7.38,AO,1595906578
559,choya,Choya,52.01,86.55,68.99,79,18,0.81,RU,1595906579
560,ibra,Ibrā’,22.69,58.53,81.03,70,0,5.3,OM,1595906579
561,minab,Mīnāb,27.15,57.08,89.6,75,40,9.17,IR,1595906580
562,ampanihy,Ampanihy,-24.7,44.75,55.8,93,0,5.3,MG,1595906580
563,bath,Bath,51.38,-2.36,55.99,90,7,1.99,GB,1595906580
564,rakovski,Rakovski,42.3,24.97,69.8,82,5,9.17,BG,1595906581
565,khoy,Khoy,38.55,44.95,80.51,34,80,2.77,IR,1595906582
566,uniontown,Uniontown,39.9,-79.72,73.99,76,34,6.04,US,1595906512
567,west wendover,West Wendover,40.74,-114.07,69.8,73,90,11.41,US,1595906584
568,kholuy,Kholuy,56.58,41.87,62.33,87,0,1.52,RU,1595906586
569,karkaralinsk,,,,,,,,,
570,bar harbor,Bar Harbor,44.39,-68.2,75.2,88,90,5.82,US,1595906587
571,umm kaddadah,Umm Kaddadah,13.6,26.69,84.09,54,98,11.5,SD,1595906587
572,chino valley,Chino Valley,34.76,-112.45,84.99,24,1,6.93,US,1595906345
573,weyburn,Weyburn,49.67,-103.85,66,68,0,4,CA,1595906588
574,normandin,Normandin,48.83,-72.53,69.8,94,90,3.02,CA,1595906588
575,rudnogorsk,Rudnogorsk,57.26,103.75,61.21,89,100,2.33,RU,1595906589
576,cidreira,Cidreira,-30.18,-50.21,58.71,97,97,6.22,BR,1595906589
577,altamont,Altamont,42.21,-121.74,73.99,40,20,6.93,US,1595906589
578,wahiawa,Wahiawā,21.5,-158.02,86,65,20,14.99,US,1595906590
579,birjand,Birjand,32.87,59.22,77,22,0,4.7,IR,1595906366
580,port lincoln,Port Lincoln,-34.73,135.87,56.86,52,93,8.1,AU,1595906591
581,petropavlovsk-kamchatskiy,Petropavlovsk-Kamchatskiy,53.05,158.65,77,53,49,11.18,RU,1595906591
582,manado,Manado,1.49,124.85,89.6,62,20,5.82,ID,1595906591
583,kunda,Kunda,25.72,81.52,92.34,54,100,7.9,IN,1595906592
584,san quintin,San Quintín,30.48,-115.95,66.63,85,0,15.1,MX,1595906295
585,barra do corda,Barra do Corda,-5.5,-45.25,69.48,57,3,1.3,BR,1595906594
586,kawalu,Kawalu,-7.38,108.21,76.98,75,88,5.19,ID,1595906594
587,howard springs,Howard Springs,-12.5,131.05,86,14,83,11.41,AU,1595906594
588,morrope,Mórrope,-6.54,-80.01,60.01,83,16,1.99,PE,1595906595
589,mahalapye,Mahalapye,-23.1,26.81,43.41,92,0,6.33,BW,1595906595
590,hanna,Hanna,51.63,-111.9,73,64,0,1.01,CA,1595906596
591,ninghai,Ninghai,29.29,121.42,93.2,63,100,6.71,CN,1595906596
592,san lorenzo,San Lorenzo,-25.33,-57.53,71.6,78,39,8.05,PY,1595906596
593,aloleng,Aloleng,16.13,119.78,87.51,63,81,4.56,PH,1595906597
594,belyy yar,Belyy Yar,53.6,91.39,68,72,100,2.24,RU,1595906597
595,ketchikan,Ketchikan,55.34,-131.65,60.8,67,40,11.41,US,1595906598
596,dubbo,Dubbo,-32.25,148.62,60.8,67,90,11.41,AU,1595906598
597,flinders,Flinders,-34.58,150.86,63,80,99,8.99,AU,1595906599
598,yar-sale,Yar-Sale,66.83,70.83,56.14,56,83,15.46,RU,1595906414
599,ayutla,Ayutla,20.12,-104.33,67.23,84,100,2.19,MX,1595906600
600,green river,Green River,41.53,-109.47,71.6,35,1,13.87,US,1595906600
601,xining,Xining,36.62,101.77,69.37,46,18,1.74,CN,1595906601
602,miles city,Miles City,46.41,-105.84,80.6,30,1,11.41,US,1595906391
603,ozernovskiy,Ozernovskiy,51.5,156.52,53.89,90,99,12.84,RU,1595906602
604,dalvik,Dalvik,65.97,-18.53,44.6,87,90,8.05,IS,1595906602
605,jijiga,Jijiga,9.35,42.8,62.62,78,96,20.22,ET,1595906603
606,gisborne,Gisborne,-38.65,178,61,51,0,4,NZ,1595906403
607,general roca,General Roca,-39.03,-67.58,39.2,69,0,4.7,AR,1595906603
608,uhlove,Uglovoye,44.82,33.6,70.54,86,91,7.2,UA,1595906604
609,odweyne,Oodweyne,9.41,45.06,72.27,59,43,13.85,SO,1595906604
610,wulanhaote,,,,,,,,,
611,srednekolymsk,Srednekolymsk,67.45,153.68,49.69,86,99,12.88,RU,1595906605
612,mogadishu,Mogadishu,2.04,45.34,77.7,85,92,20.94,SO,1595906605
613,viedma,Viedma,-40.81,-63,34,85,71,1.99,AR,1595906606
614,sembe,Sémbé,1.65,14.58,68.77,88,0,3.42,CG,1595906606
615,lircay,Lircay,-12.99,-74.72,43.99,65,1,1.28,PE,1595906607
616,baykit,Baykit,61.67,96.37,65.26,59,96,1.92,RU,1595906607
617,bouna,Bouna,9.27,-3,70.3,93,98,7.43,CI,1595906607
618,decatur,Decatur,39.84,-88.95,77,94,40,5.82,US,1595906608
619,narodychi,Narodychi,51.2,29.08,64.29,86,52,1.83,UA,1595906608
620,minbu,Minbu,20.18,94.88,85.05,74,94,6.4,MM,1595906608
621,aklavik,Aklavik,68.22,-135.01,64.4,59,75,14.99,CA,1595906609
622,catamarca,San Fernando del Valle de Catamarca,-28.47,-65.79,50,43,0,3,AR,1595906434
623,basco,Basco,20.45,121.97,85.17,73,94,6.26,PH,1595906610
624,copenhagen,Copenhagen,55.68,12.57,63,88,100,14.99,DK,1595906476
625,angoche,Angoche,-16.23,39.91,70.05,77,40,11.59,MZ,1595906610
626,avallon,Avallon,47.48,3.9,60.96,87,12,9.55,FR,1595906611
